Empresa,Cargo,Local,Data publicacao,Tipo de cargo,Remoto/Presencial
Webjump,Analista de Dados,Santo Amaro - SP,04/08/2023,Efetivo,Remoto
inventCloud,Cientista de Dados Especialista em Oracle  - OCI,Sao Paulo - SP,04/08/2023,Pessoa Juridica,Remoto
NAVA | Technology for Business,Pessoa Engenheira de Dados,Sao Paulo - SP,04/08/2023,Efetivo,Presencial
Brasilseg,Especialista em Ciencia de Dados / Data Science Specialist / Cientista de Dados / Data Scientist,Sao Paulo - SP,04/08/2023,Efetivo,Presencial
Globo,Pessoa Analista de Dados Senior - Segmentacao de audiencias em First-Party Data - NIP | Mais pessoas negras na Globo! ,Sao Paulo - SP,03/08/2023,Efetivo,Presencial
ACE Ventures,Estagio de Inteligencia de Dados,Sao Paulo - SP,03/08/2023,Estagio,Remoto
Contabilizei Carreira Tech,Engenheiro de Dados Senior,Nao informado,03/08/2023,Efetivo,Remoto
Contabilizei Carreira Tech,Analista de Dados Pleno,Nao informado,03/08/2023,Efetivo,Remoto
NAVA | Technology for Business,Visualizacao de Dados,Sao Paulo - SP,03/08/2023,Efetivo,Presencial
Rede Verbita de Educacao,Analista de Dados Junior,Belo Horiz... - MG,03/08/2023,Efetivo,Presencial
CNP Seguradora,ESPECIALISTA DE DADOS,Barueri - SP,03/08/2023,Efetivo,Presencial
Confidencial,ANALISTA BUSINESS INTELLIGENCE PLENO  - DADOS,Rio de Jan... - RJ,03/08/2023,Efetivo,Presencial
Nordica,Engenheiro de Dados,Sao Paulo - SP,03/08/2023,Efetivo,Remoto
Venha fazer parte da revolucao da logistica e mobilidade no mundo!,People Ops Sr - Analista de Dados e Projetos,Sao Paulo - SP,03/08/2023,Efetivo,Presencial
Venha fazer parte da revolucao da logistica e mobilidade no mundo!,People Ops Pl - Analista de Dados e Projetos,Sao Paulo - SP,03/08/2023,Efetivo,Presencial
Aramis,Engenheiro de Dados - TI,Sao Paulo - SP,03/08/2023,Efetivo,Presencial
Grupo Panvel,Analista de Planejamento Financeiro - Enfase em dados,Eldorado d... - RS,03/08/2023,Efetivo,Presencial
Central IT,ANALISTA DE BANCO DE DADOS PLENO,Nao informado,03/08/2023,Efetivo,Presencial
Solutis Tecnologias LTDA,Engenheiro(a) de Dados (Senior),Nao informado,03/08/2023,Efetivo,Remoto
Voke,Supervisor de Dados - Sao Paulo,Sao Paulo - SP,03/08/2023,Efetivo,Presencial
GAVB,Pessoa Especialista em Governanca de Dados I,Nao informado,03/08/2023,Efetivo,Remoto
Stefanini Group,Pessoa Engenheira de Dados,Nao informado,02/08/2023,Efetivo,Remoto
BETC HAVAS,Supervisor(a) de dados,Sao Paulo - SP,02/08/2023,Efetivo,Presencial
Infotec Brasil,Banco de Talentos - Engenheiro de Dados  - Engenheiro de Aplicacao,Rio de Jan... - RJ,02/08/2023,Efetivo,Presencial
Infotec Brasil,Banco de Talentos - Engenheiro de Dados,Rio de Jan... - RJ,02/08/2023,Efetivo,Presencial
ilegra,Pessoa Analista de Dados Plena,Porto Alegre - RS,02/08/2023,Efetivo,Remoto
Dotz,ANALISTA DE DADOS JUNIOR | RECUPERACAO DE CREDITO,Sao Paulo - SP,02/08/2023,Efetivo,Presencial
Vagas Valgroup,Analista de Dados,Lorena - SP,02/08/2023,Efetivo,Presencial
Vagas MRM Brasil,Analista de Dados Pleno Data Visualization (DATAVIS) - Freelancer,Sao Paulo - SP,02/08/2023,Freelancer,Presencial
Vagas MRM Brasil,Analista de Dados Pleno Machine Learning (ML) - Freelancer,Sao Paulo - SP,02/08/2023,Freelancer,Presencial
Senff,Analista de Dados Pleno,Curitiba - PR,02/08/2023,Efetivo,Presencial
Itau Unibanco,Faca sua Carreira de Dados no Itau ,Sao Paulo - SP,02/08/2023,Efetivo,Presencial
Qexpert,Analista de Dados Junior,Sao Paulo - SP,02/08/2023,Efetivo,Remoto
Convert Digital Business,Analista de Dados de Redes Sociais,Sao Paulo - SP,02/08/2023,Efetivo,Remoto
Infotec Brasil,Analista de Dados - Macae/RJ,Macae - RJ,02/08/2023,Efetivo,Presencial
EloGroup,Processo Seletivo 2023.2 - Estagio em Engenharia de Dados & BI,Nao informado,01/08/2023,Estagio,Remoto
Quero Educacao,Analista de Dados | Junior,Sao Jose d... - SP,01/08/2023,Efetivo,Presencial
FortBrasil,Engenheiro de Dados JR,Fortaleza - CE,01/08/2023,Efetivo,Remoto
PTC GROUP,Administrador de Dados,Sao Paulo - SP,01/08/2023,Pessoa Juridica,Remoto
V8.TECH,Pessoa Arquiteta de Governanca de Dados,Nao informado,01/08/2023,Pessoa Juridica,Remoto
Portobello,Pessoa Especialista em Engenharia de Dados,Florianopolis - SC,01/08/2023,Efetivo,Presencial
BP - A Beneficencia Portuguesa de Sao Paulo,Analista de Inteligencia de Mercado Pleno - (Foco em Dados),Sao Paulo - SP,01/08/2023,Efetivo,Presencial
TROC,ANALISTA DE DADOS,Quatro Barras - PR,01/08/2023,Efetivo,Remoto
Strattner,Analista de Dados (SP/RJ/SC),Palhoca - SC,01/08/2023,Efetivo,Presencial
Colormaq,Analista de Dados E-commerce,Sao Paulo - SP,01/08/2023,Efetivo,Presencial
Seja Globalweb,ARQUITETURA DE SISTEMAS DE DADOS,Fortaleza - CE,01/08/2023,Efetivo,Presencial
Smarthis,Cientista de Dados Junior,Rio de Jan... - RJ,31/07/2023,Efetivo,Remoto
Smarthis,Cientista de Dados Senior,Rio de Jan... - RJ,31/07/2023,Efetivo,Remoto
